epoch,train_loss,val_loss,mass_mae,radius_mae,temp_mae,lr
1,9.039540149547436,7.87205810546875,2.597429221331708,0.2876933675984782,816.4445969020461,0.000125
2,7.5769095126493475,7.074650812149048,nan,nan,nan,0.00025
3,6.829915882628641,6.499930143356323,nan,nan,nan,0.000375
4,6.39330682636779,6.002381181716919,nan,nan,nan,0.0005
5,5.826964637379588,5.568385887145996,nan,nan,nan,0.000625
6,5.423313811973289,5.140014123916626,nan,nan,nan,0.00075
7,5.234311427599118,4.989791965484619,nan,nan,nan,0.000875
8,5.110607064800498,4.931310415267944,nan,nan,nan,0.001
9,4.99863518608941,4.985617780685425,nan,nan,nan,0.000999524110790929
10,4.847408959895004,4.75300030708313,2.4280240422577086,0.13072589243922456,159.4445905870921,0.0009980973490458728
11,4.745887809329563,4.759113025665283,nan,nan,nan,0.0009957224306869053
12,4.65966620857333,4.6252046585083,nan,nan,nan,0.000992403876506104
13,4.6235739095711414,4.428895044326782,nan,nan,nan,0.0009881480035599667
14,4.534693800372842,4.487337446212768,nan,nan,nan,0.0009829629131445341
15,4.4925371688089255,4.37645902633667,nan,nan,nan,0.0009768584753741135
16,4.427653088981723,4.309070777893067,nan,nan,nan,0.0009698463103929542
17,4.442347026165621,4.371368503570556,nan,nan,nan,0.0009619397662556434
18,4.4058059086034325,4.244410800933838,nan,nan,nan,0.0009531538935183251
19,4.338329971572499,4.117208743095398,nan,nan,nan,0.0009435054165891108
20,4.289769572976195,4.205618858337402,2.0912118441274554,0.13251398149656543,78.90590026475307,0.0009330127018922195
21,4.3016112174516845,4.196647262573242,nan,nan,nan,0.0009216957229064429
22,4.231426080067952,4.125453639030456,nan,nan,nan,0.0009095760221444959
23,4.199841366873847,4.235921144485474,nan,nan,nan,0.0008966766701456176
24,4.196071342185691,4.154746794700623,nan,nan,nan,0.000883022221559489
25,4.149811326721569,4.169209885597229,nan,nan,nan,0.000868638668405062
26,4.145218710840484,4.170260238647461,nan,nan,nan,0.0008535533905932737
27,4.115245468822526,4.118222904205322,nan,nan,nan,0.0008377951038078302
28,4.093116168622617,4.10444438457489,nan,nan,nan,0.0008213938048432696
29,4.08718509732941,4.114306712150574,nan,nan,nan,0.0008043807145043603
30,4.0860704610377185,4.058643364906311,1.64741444955784,0.10564928934518213,57.85296313364261,0.0007867882181755231
31,4.050764822665556,4.0173643827438354,nan,nan,nan,0.000768649804173412
32,4.035633249047362,4.045617604255677,nan,nan,nan,0.00075
33,3.963493288299184,4.018129205703735,nan,nan,nan,0.000730874306617517
34,3.972088077921926,4.020030689239502,nan,nan,nan,0.0007113091308703497
35,3.979264229903986,4.055245447158813,nan,nan,nan,0.000691341716182545
36,3.941089747864523,3.928029274940491,nan,nan,nan,0.0006710100716628344
37,3.940324909893083,3.8657566785812376,nan,nan,nan,0.0006503528997521365
38,3.88523973359002,3.9218374252319337,nan,nan,nan,0.0006294095225512603
39,3.8872441480189193,3.9111972093582152,nan,nan,nan,0.0006082198069690515
40,3.883431210929965,4.063198065757751,1.8320096796437508,0.13684823914395278,59.669930617122745,0.0005868240888334653
41,3.8765092367007408,3.930659365653992,nan,nan,nan,0.000565263096110026
42,3.8513220563346957,3.9199763536453247,nan,nan,nan,0.0005435778713738292
43,3.861986784287441,3.797846269607544,nan,nan,nan,0.0005218096936826681
