pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,pl_dens,pl_eqt,pl_insol,st_teff,st_mass,st_rad,st_lum,st_met,st_spectype,discoverymethod,disc_year,pl_orbincl,planet_type
Kepler-1823 b,Kepler-1823,21.10325899,0.1556,0.0,,0.15344839,,804.0,98.63,6483.0,1.125,1.229,,-0.22,,Transit,2021.0,89.95,DesertWorld
Kepler-305 d,Kepler-305,16.73869035,0.1201,0.0,,0.2283883,,576.0,26.06,5103.0,0.823,0.787,,0.04,,Transit,2014.0,89.27,MiniNeptune
Kepler-306 d,Kepler-306,17.32670445,0.1203,0.0,,0.19894762,,535.0,19.38,4955.0,0.774,0.721,,-0.1,,Transit,2014.0,88.0,SuperEarth
Kepler-1190 b,Kepler-1190,10.45843441,0.0823,0.0,,0.11240986,,601.0,30.84,4702.0,0.68,0.691,,-0.18,,Transit,2016.0,88.81,EarthLike
Kepler-303 c,Kepler-303,7.06117359,0.058,0.0,,0.1025963,,516.0,16.74,3944.0,0.52,0.51,,-0.36,,Transit,2014.0,89.95,EarthLike
Kepler-84 f,Kepler-84,44.5520266,0.2451,0.0,,0.20430047,,572.0,25.3,6036.0,0.987,1.131,,-0.18,,Transit,2014.0,89.07,SuperEarth
Kepler-300 b,Kepler-300,10.44636649,0.0926,0.0,,0.16772265,,812.0,102.77,5968.0,0.97,0.881,,-0.26,,Transit,2014.0,87.66,DesertWorld
Kepler-310 d,Kepler-310,92.8750347,0.387,0.0,,0.21232974,,380.0,4.9,5795.0,0.894,0.853,,-0.3,,Transit,2014.0,89.38,SuperEarth
Kepler-84 d,Kepler-84,4.22451369,0.0512,0.0,,0.11597843,,1188.0,470.83,6028.0,1.005,1.022,,-0.14,,Transit,2014.0,88.81,DesertWorld
Kepler-84 e,Kepler-84,27.4345883,0.1784,0.0,,0.20519261,,636.0,38.78,6028.0,1.005,1.022,,-0.14,,Transit,2014.0,89.95,SuperEarth
Kepler-1186 b,Kepler-1186,16.07673148,0.1281,0.0,,0.19091834,,724.0,64.75,5957.0,1.083,0.971,,0.07,,Transit,2016.0,89.89,SuperEarth
Kepler-1152 b,Kepler-1152,1.646801908,0.0225,0.0,,0.0811849,,840.0,117.94,3900.0,0.559,0.537,,-0.1,,Transit,2016.0,87.66,DesertWorld
Kepler-321 b,Kepler-321,4.915387067,0.0577,0.0,,0.15880124,,1116.0,366.09,5881.0,1.061,1.067,,0.14,,Transit,2014.0,84.8,DesertWorld
Kepler-322 b,Kepler-322,1.653893465,0.0247,0.0,,0.08564561,,1403.0,915.4,5496.0,0.738,0.827,,-0.46,,Transit,2014.0,87.66,DesertWorld
Kepler-49 e,Kepler-49,18.5960431,0.1119,0.0,,0.11597843,,359.0,3.94,3816.0,0.54,0.51,,-0.05,,Transit,2014.0,89.95,EarthLike
Kepler-319 b,Kepler-319,4.362744362,0.0578,0.0,,0.28905394,,1447.0,1035.22,5903.0,1.349,1.784,,0.48,,Transit,2014.0,89.95,MiniNeptune
Kepler-116 c,Kepler-116,13.071489,0.1153,0.0,,0.16504623,,912.0,163.73,6484.0,1.195,1.173,,-0.08,,Transit,2014.0,89.95,DesertWorld
Kepler-115 b,Kepler-115,2.403643296,0.0351,0.0,,0.08832204,,1459.0,1071.38,5977.0,0.999,1.075,,-0.1,,Transit,2014.0,88.24,DesertWorld
Kepler-250 b,Kepler-250,4.14808732,0.0479,0.0,,0.10348845,,928.0,175.04,5162.0,0.849,0.795,,0.06,,Transit,2014.0,87.09,DesertWorld
Kepler-50 c,Kepler-50,9.37664325,0.094,0.0,,0.1623698,,1127.0,381.61,6225.0,1.259,1.584,,0.0,,Transit,2012.0,88.81,DesertWorld
KOI-1831 d,Kepler-324,34.2069395,0.199,0.0,,0.10081202,,474.0,11.98,5355.0,0.901,0.803,,0.0,,Transit,2021.0,89.95,EarthLike
Kepler-324 e,Kepler-324,13.97946561,0.1096,0.0,,0.13560555,,639.0,39.51,5355.0,0.901,0.803,,0.0,,Transit,2021.0,89.95,EarthLike
Kepler-33 b,Kepler-33,5.66815436,0.0643,0.0,,0.13738983,,1336.0,752.7,5900.0,1.1,1.694,,0.0,,Transit,2011.0,89.38,DesertWorld
Kepler-324 b,Kepler-324,4.38536461,0.0506,0.0,,0.09902774,,941.0,185.34,5355.0,0.901,0.803,,0.0,,Transit,2014.0,89.38,DesertWorld
Kepler-319 d,Kepler-319,31.7821117,0.1879,0.0,,0.18556549,,528.0,18.32,5527.0,0.875,0.88,,-0.08,,Transit,2014.0,89.85,SuperEarth
Kepler-316 b,Kepler-316,2.240486703,0.0281,0.0,,0.1088413,,837.0,115.98,4198.0,0.587,0.574,,-0.32,,Transit,2014.0,87.63,DesertWorld
Kepler-285 c,Kepler-285,6.18666218,0.0634,0.0,,0.09902774,,847.0,121.47,5400.0,0.895,0.801,,-0.06,,Transit,2014.0,89.38,DesertWorld
Kepler-949 c,Kepler-949,20.99747771,0.1394,0.0,,0.33187674,,582.0,27.2,5211.0,0.817,0.895,,0.08,,Transit,2023.0,88.24,MiniNeptune
Kepler-804 c,Kepler-804,9.65185017,0.0873,0.0,,0.10438059,,875.0,138.84,5775.0,0.95,1.031,,-0.04,,Transit,2016.0,85.94,DesertWorld
Kepler-1991 b,Kepler-1991,13.26084292,0.108,0.0,,0.11240986,,700.0,56.7,5632.0,0.953,0.857,,-0.02,,Transit,2023.0,88.24,EarthLike
