pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,pl_dens,pl_eqt,pl_insol,st_teff,st_mass,st_rad,st_lum,st_met,st_spectype,discoverymethod,disc_year,pl_orbincl,planet_type
HD 260655 c,HD 260655,5.70588,0.04749,0.038,0.00972223,0.13676533,4.7,557.0,16.1,3803.0,0.439,0.439,-1.43997,-0.43,M0 V,Transit,2022.0,87.79,EarthLike
TOI-521 b,TOI-521,1.54285047,0.0195,0.0,0.01667566,0.17664407,3.8,794.0,66.0,3544.0,0.42,0.421,-1.5986,-0.12,M3,Transit,2025.0,88.6,SuperEarth
KELT-9 b,KELT-9,1.4811235,0.03462,0.0,2.88,1.891,0.53,4050.0,44900.0,10170.0,2.52,2.362,1.72428,-0.03,B9.5-A0,Transit,2017.0,86.79,HotJupiter
K2-38 b,K2-38,4.01593,0.04994,0.197,0.02296837,0.13738983,11.0,1266.0,426.0,5731.0,1.03,1.06,0.03743,0.26,G2 V,Transit,2016.0,88.36,DesertWorld
K2-38 c,K2-38,10.56103,0.09514,0.161,0.02611472,0.20430047,3.8,916.0,117.0,5731.0,1.03,1.06,0.03743,0.26,G2 V,Transit,2016.0,87.68,DesertWorld
HD 332231 b,HD 332231,18.71204,0.1436,0.032,0.244,0.867,0.464,876.0,98.09,6089.0,1.127,1.277,0.30535,0.036,F8,Transit,2020.0,89.68,GasGiant
LTT 3780 b,LTT 3780,0.768377,0.01203,0.064,0.00736246,0.12043914,5.24,1000.0,116.0,3360.0,0.379,0.382,-1.77728,0.09,M3.5 V,Transit,2020.0,85.9,DesertWorld
KELT-18 b,KELT-18,2.8717518,0.0455,0.0,1.18,1.57,0.377,2085.0,3152.0,6670.0,1.524,1.908,0.81291,0.09,F4 V,Transit,2017.0,88.86,HotJupiter
LTT 3780 c,LTT 3780,12.252131,0.0762,0.115,0.01979055,0.21589831,2.45,397.0,2.88,3360.0,0.379,0.382,-1.77728,0.09,M3.5 V,Transit,2020.0,89.08,SuperEarth
TOI-1238 c,TOI-1238,3.294736,0.037,0.15,0.02617765,0.18824192,4.9,695.0,63.0,4089.0,0.59,0.58,-1.08249,0.31,K7/M0,Transit,2022.0,88.38,SuperEarth
TOI-1238 b,TOI-1238,0.764597,0.0139,0.25,0.01183028,0.10794916,11.7,1133.0,442.0,4089.0,0.59,0.58,-1.08249,0.31,K7/M0,Transit,2022.0,86.51,DesertWorld
TOI-406 c,TOI-406,3.307441,0.0322,0.032,0.00654441,0.11776272,4.9,584.0,19.0,3392.0,0.408,0.41,-1.71444,-0.02,M3,Transit,2024.0,87.6,EarthLike
TOI-406.01,TOI-406,13.175682,0.0809,0.056,0.02067153,0.18556549,4.1,368.0,3.0,3392.0,0.408,0.41,-1.71444,-0.02,M3,Transit,2024.0,89.4,SuperEarth
LHS 1140 b,LHS 1140,24.73712,0.0875,0.29,0.02092314,0.12757605,12.5,230.0,0.46,3131.0,0.146,0.186,-2.52564,-0.24,M4.5 V,Transit,2017.0,89.912,EarthLike
Qatar-5 b,Qatar-5,2.8792319,0.04127,0.0,4.32,1.107,3.95,1415.0,669.0,5747.0,1.128,1.076,0.05614,0.377,G2 V,Transit,2017.0,88.74,HotJupiter
Qatar-4 b,Qatar-4,1.8053564,0.02803,0.0,6.1,1.135,5.1,1385.0,614.0,5215.0,0.896,0.849,-0.31785,0.103,K1 V,Transit,2017.0,87.5,HotJupiter
TOI-4201 b,TOI-4201,3.5819194,0.04,0.041,2.48,1.22,1.82,725.0,45.2,3794.0,0.61,0.63,-1.11919,0.52,M1.0+/-0.5,Transit,2023.0,88.0,GasGiant
Kepler-278 b,Kepler-278,30.1556,0.202,0.696,0.1761957,0.35284207,5.0,586.0,110.0,4965.0,1.227,2.861,0.64933,0.22,K2 III-IV,Transit,2014.0,85.11,GasGiant
Qatar-3 b,Qatar-3,2.5079204,0.03783,0.0,4.31,1.096,4.0,1681.0,1330.0,6007.0,1.145,1.272,0.27875,-0.041,G0 V,Transit,2017.0,86.8,HotJupiter
GJ 1214 b,GJ 1214,1.58040433,0.0149,0.063,0.02570569,0.24462528,2.2,596.0,21.0,3250.0,0.178,0.215,-2.33724,0.29,M4 V,Transit,2009.0,88.7,MiniNeptune
TOI-1728 b,TOI-1728,3.49151,0.0391,0.057,0.08425888,0.45053082,1.14,767.0,57.78,3980.0,0.646,0.6243,-1.05552,0.25,M0,Transit,2020.0,88.31,MiniNeptune
TOI-2969 b,TOI-2969,1.8237146,0.0261,0.0,1.16,1.1,1.1,1186.0,382.0,4738.0,0.71,0.7,-0.58503,0.08,K3 V,Transit,2025.0,84.9,HotJupiter
Kepler-391 b,Kepler-391,7.4175,0.083,0.46,3.46098705,0.22303545,380.0,930.0,690.0,5038.0,1.27,2.879,0.66276,0.04,K2 III-IV,Transit,2014.0,85.5,GasGiant
TOI-1201 b,TOI-1201,2.4919863,0.0287,0.0,0.01975909,0.21545224,2.45,703.0,40.6,3476.0,0.512,0.508,-1.46852,0.05,M2.0 V,Transit,2021.0,88.11,SuperEarth
K2-140 b,K2-140,6.5693,0.0591,0.12,1.019,1.095,0.963,1114.0,188.5,5654.0,1.005,0.987,-0.04915,0.12,G5,Transit,2017.0,88.51,HotJupiter
TOI-2641 b,TOI-2641,4.880974,0.0607,0.18,0.386,1.615,0.092,1387.0,602.0,6100.0,1.16,1.336,0.34044,-0.15,F9 V,Transit,2023.0,83.75,HotJupiter
TOI-4666 b,TOI-4666,2.9089168,0.0333,0.0,0.7,1.11,0.64,713.0,54.0,3512.0,0.58,0.59,-1.22185,0.19,M2.5 V,Transit,2025.0,89.6,GasGiant
HATS-17 b,HATS-17,16.254611,0.1308,0.029,1.338,0.777,3.5,814.0,72.7,5846.0,1.131,1.091,0.09342,0.3,G V,Transit,2016.0,89.08,GasGiant
TOI-4603 b,TOI-4603,7.24599,0.0888,0.325,12.89,1.042,14.1,1677.0,1192.0,6264.0,1.765,2.738,1.01703,0.342,F,Transit,2023.0,80.21,HotJupiter
Kepler-391 c,Kepler-391,20.501,0.164,0.27,1.41585834,0.25693683,400.0,662.0,179.0,5038.0,1.27,2.879,0.66276,0.04,K2 III-IV,Transit,2014.0,87.27,GasGiant
TOI-238 c,TOI-238,8.465651,0.0749,0.36,0.02108056,0.19448691,1.83,696.0,58.3,5059.0,0.79,0.733,-0.47083,-0.114,K2V,Radial Velocity,2024.0,87.938,SuperEarth
HD 207897 b,HD 207897,16.202159,0.1163,0.047,0.04530747,0.22312466,5.05,632.2,26.5,5070.0,0.8,0.779,-0.4437,-0.042,K0 V,Transit,2021.0,88.757,MiniNeptune
TOI-622 b,TOI-622,6.402513,0.0708,0.42,0.303,0.824,0.507,1388.0,602.0,6400.0,1.313,1.415,0.47407,0.09,F6 V,Transit,2023.0,86.62,HotJupiter
TOI-615 b,TOI-615,4.6615983,0.0678,0.39,0.435,1.693,0.084,1666.0,1286.0,6850.0,1.449,1.732,0.7679,-0.1,F2 V,Transit,2023.0,86.73,HotJupiter
TOI-1117 b,TOI-1117,2.22816,0.033,0.0,0.02800253,0.21946688,3.3,1538.0,928.0,5635.0,0.97,1.05,-0.4437,0.136,G5 V,Transit,2025.0,88.2,DesertWorld
TOI-125 b,TOI-125,4.65382,0.05186,0.194,0.02989019,0.24319743,2.57,1037.0,185.0,5320.0,0.859,0.848,-0.28483,-0.02,K0 V,Transit,2019.0,88.92,MiniNeptune
TOI-125 c,TOI-125,9.15059,0.0814,0.066,0.02086021,0.24614149,1.73,827.8,77.59,5320.0,0.859,0.848,-0.28483,-0.02,K0 V,Transit,2019.0,88.54,MiniNeptune
Ross 176 b,Ross 176,5.0066338,0.0464,0.25,0.01437883,0.16415409,4.03,682.0,36.2,4041.0,0.577,0.569,-1.10891,-0.19,K7 V,Transit,2025.0,89.42,SuperEarth
TOI-4438 b,TOI-4438,7.44628,0.0534,0.14,0.0169903,0.22481973,1.85,435.0,6.0,3422.0,0.368,0.372,-1.76802,-0.19,M3.5 V,Transit,2024.0,89.34,MiniNeptune
GJ 3090 b,GJ 3090,2.85310198,0.0316,0.25,0.01422151,0.19448691,2.4,723.0,45.4,3707.0,0.519,0.516,-1.34199,0.12,M2 V,Transit,2022.0,86.9,SuperEarth
TOI-1431 b,TOI-1431,2.650237,0.046,0.0022,3.12,1.49,1.17,2370.0,5300.0,7690.0,1.9,1.92,1.06819,0.09,Am C,Transit,2021.0,80.13,HotJupiter
TOI-181 b,TOI-181,4.532,0.0539,0.1543,0.1452,0.6339,0.7562,895.1,102.43,4994.0,0.822,0.745,-0.52578,0.272,K,Transit,2023.0,88.28,GasGiant
TOI-125 d,TOI-125,19.98,0.137,0.168,0.04279017,0.26139709,2.98,638.1,26.7,5320.0,0.859,0.848,-0.28483,-0.02,K0 V,Transit,2020.0,88.795,MiniNeptune
TOI-4342 c,TOI-4342,10.688662,0.0804,0.0,0.01510249,0.2095641,2.01,514.0,11.6,3866.0,0.587,0.598,-1.12494,0.26,M0 V,Transit,2023.0,89.61,SuperEarth
TOI-4342 b,TOI-4342,5.5382592,0.0519,0.0,0.02296837,0.20777982,3.18,639.0,27.8,3866.0,0.587,0.598,-1.12494,0.26,M0 V,Transit,2023.0,88.83,SuperEarth
TOI-4336 A b,TOI-4336 A,16.336351,0.0849,0.0,0.01047735,0.1906507,1.87,309.4,1.53,3307.0,0.306,0.326,-1.95861,0.14,M3.5 V,Transit,2024.0,89.492,SuperEarth
GPX-1 b,GPX-1,1.744579,0.0338,0.0,19.7,1.47,8.222423,2300.0,4650.0,7000.0,1.68,1.56,0.72673,0.35,F2,Transit,2021.0,79.9,HotJupiter
TOI-1634 b,TOI-1634,0.989343,0.01545,0.16,0.01544859,0.15969338,4.7,924.0,121.0,3550.0,0.502,0.45,-1.5391,0.23,M2,Transit,2021.0,88.2,DesertWorld
TOI-1260 c,TOI-1260,7.49325,0.0656,0.0,0.03712695,0.25158398,2.87,643.0,28.4,4227.0,0.66,0.65,-0.85699,-0.1,K6 V,Transit,2021.0,88.12,MiniNeptune
TOI-4127 b,TOI-4127,56.39879,0.3081,0.7471,2.3,1.096,2.17,605.1,22.3,6096.0,1.23,1.293,0.31639,0.14,F V,Transit,2023.0,89.3,GasGiant
HD 95338 b,HD 95338,55.087,0.262,0.197,0.1335305,0.34704256,3.98,385.0,7.42,5212.0,0.83,0.87,-0.3098,0.04,K0.5 V,Radial Velocity,2020.0,89.57,MiniNeptune
WASP-193 b,WASP-193,6.2463345,0.0676,0.056,0.139,1.464,0.059,1254.0,413.0,6078.0,1.059,1.239,0.27416,-0.06,F9,Transit,2023.0,88.49,HotJupiter
TOI-4336 A c,TOI-4336 A,7.587266,0.05092,0.0,0.00487685,0.11160694,4.35,399.5,4.24,3307.0,0.306,0.326,-1.95861,0.14,M3.5 V,Transit,2026.0,89.64,EarthLike
TOI-1386 b,TOI-1386,25.83839,0.1732,0.061,0.148,0.54,1.16,676.4,34.68,5793.0,1.038,1.015,0.01662,0.164,G5V,Transit,2024.0,89.69,GasGiant
HATS-36 b,HATS-36,4.1752387,0.05425,0.105,3.216,1.235,2.12,1356.0,561.0,6149.0,1.222,1.155,0.21484,0.28,G0 V,Transit,2018.0,87.61,HotJupiter
GJ 486 b,GJ 486,1.4671205,0.01713,0.0,0.00943906,0.11981464,6.79,706.0,41.3,3291.0,0.333,0.339,-1.9165,-0.15,M3.5 V,Radial Velocity,2021.0,88.9,EarthLike
HATS-18 b,HATS-18,0.8378434,0.01761,0.166,1.98,1.337,1.02,2060.0,2990.0,5600.0,1.037,1.02,-0.03152,0.28,G V,Transit,2016.0,85.5,HotJupiter
TOI-3785 b,TOI-3785,4.6747373,0.043,0.11,0.04703796,0.45856088,0.61,582.0,19.1,3576.0,0.52,0.5,-1.43533,0.099,M2 V,Transit,2023.0,88.1,MiniNeptune
HAT-P-68 b,HAT-P-68,2.29840551,0.02996,0.041,0.724,1.072,0.727,1027.8,184.8,4508.0,0.6785,0.6701,-0.77911,-0.059,K,Transit,2020.0,88.73,HotJupiter
TOI-776 b,TOI-776,8.24661,0.0652,0.06,0.01258534,0.16504595,3.4,514.0,11.5,3709.0,0.544,0.538,-1.3098,-0.2,M1 V,Transit,2020.0,89.65,SuperEarth
TOI-776 c,TOI-776,15.6653,0.1,0.04,0.01667558,0.18021233,3.5,415.0,4.9,3709.0,0.544,0.538,-1.3098,-0.2,M1 V,Transit,2020.0,89.51,SuperEarth
TOI-3757 b,TOI-3757,3.438753,0.03845,0.14,0.26838381,1.07057014,0.27,759.0,55.4,3913.0,0.64,0.62,-1.06048,0.0,M0 V,Transit,2022.0,86.76,GasGiant
K2-3 b,K2-3,10.0546535,0.0747,0.107,0.01607786,0.18538706,3.11,501.3,10.5,3844.0,0.549,0.546,-1.23136,-0.157,M V,Transit,2015.0,89.4,SuperEarth
TOI-561 b,TOI-561,0.4465688,0.0106,0.0,0.0062927,0.1271302,3.8,2310.0,4745.0,5372.0,0.806,0.843,-0.27327,-0.4,G9 V,Transit,2020.0,87.2,LavaWorld
TOI-561 c,TOI-561,10.778831,0.0884,0.03,0.01695884,0.25961326,1.2,800.0,68.2,5372.0,0.806,0.843,-0.27327,-0.4,G9 V,Transit,2020.0,89.69,MiniNeptune
TOI-561 d,TOI-561,25.7124,0.158,0.122,0.04153184,0.25158398,3.2,598.0,21.4,5372.0,0.806,0.843,-0.27327,-0.4,G9 V,Transit,2020.0,89.4,MiniNeptune
TOI-561 e,TOI-561,77.03,0.328,0.079,0.03964403,0.22749615,4.2,415.0,4.96,5372.0,0.806,0.843,-0.27327,-0.4,G9 V,Transit,2020.0,89.8,MiniNeptune
WASP-132 b,WASP-132,7.1335164,0.0674,0.0163,0.428,0.901,0.73,682.0,58.5,4686.0,0.789,0.758,-0.57512,0.15,K4 V,Transit,2016.0,89.46,GasGiant
TOI-283 b,TOI-283,17.61745,0.123,0.0,0.02057714,0.20876118,2.81,661.0,30.4,5213.0,0.8,0.85,-0.33724,-0.09,K,Transit,2025.0,89.12,SuperEarth
TOI-1438 b,TOI-1438,5.13967,0.0553,0.0,0.02957571,0.2712111,1.8,971.0,145.0,5230.0,0.876,0.82,-0.34679,0.03,K0 V,Transit,2025.0,86.21,MiniNeptune
TOI-1438 c,TOI-1438,9.428089,0.083,0.0,0.03335133,0.24533899,2.9,794.0,65.0,5230.0,0.876,0.82,-0.34679,0.03,K0 V,Transit,2025.0,87.61,MiniNeptune
TOI-1452 b,TOI-1452,11.06201,0.061,0.0,0.01516542,0.14916611,5.6,326.0,1.8,3185.0,0.249,0.275,-2.1549,-0.07,M4 +/- 0.5 V,Transit,2022.0,89.77,EarthLike
HD 260655 b,HD 260655,2.76953,0.02933,0.039,0.00673319,0.11062558,6.2,709.0,42.2,3803.0,0.439,0.439,-1.43997,-0.43,M0 V,Transit,2022.0,87.35,EarthLike
TOI-1266 c,TOI-1266,18.801611,0.1047,0.34,0.00906149,0.1900262,1.6,354.0,2.7,3618.0,0.431,0.436,-1.5376,-0.195,M3 V,Transit,2020.0,89.15,SuperEarth
TOI-2989 b,TOI-2989,3.122832,0.0384,0.0,3.0,1.12,2.7,1001.0,124.0,4672.0,0.77,0.76,-0.73755,-0.04,K4 V,Transit,2025.0,88.1,HotJupiter
HD 191939 b,HD 191939,8.8803256,0.0804,0.031,0.03146352,0.30422035,1.4,880.0,100.0,5348.0,0.81,0.94,-0.18709,-0.15,G9 V,Transit,2020.0,88.1,MiniNeptune
TOI-238 b,TOI-238,1.2730991,0.02118,0.18,0.0106976,0.12507828,6.8,1311.0,728.0,5059.0,0.79,0.733,-0.47083,-0.114,K2V,Transit,2024.0,84.6,DesertWorld
TOI-1260 b,TOI-1260,3.12748,0.0366,0.0,0.02705863,0.20876118,3.69,860.0,91.0,4227.0,0.66,0.65,-0.85699,-0.1,K6 V,Transit,2021.0,88.8,DesertWorld
TOI-1685 b,TOI-1685,0.66913924,0.01138,0.0,0.00953345,0.13096641,5.3,1062.0,236.0,3575.0,0.454,0.4555,-1.51542,0.3,M2.65 V,Transit,2021.0,87.17,DesertWorld
HD 191939 c,HD 191939,28.579743,0.1752,0.034,0.02517081,0.2850393,1.35,600.0,21.0,5348.0,0.81,0.94,-0.18709,-0.15,G9 V,Transit,2020.0,89.1,MiniNeptune
TOI-674 b,TOI-674,1.977143,0.025,0.0,0.0742539,0.46837443,0.91,635.0,38.4,3514.0,0.42,0.42,-1.61439,0.17,M2 V,Transit,2021.0,87.21,MiniNeptune
HD 191939 d,HD 191939,38.353037,0.2132,0.031,0.00880979,0.26719646,0.57,540.0,14.3,5348.0,0.81,0.94,-0.18709,-0.15,G9 V,Transit,2020.0,89.49,MiniNeptune
Kepler-278 c,Kepler-278,51.111,0.287,0.616,0.10980768,0.29155193,5.5,492.0,54.3,4965.0,1.227,2.861,0.64933,0.22,K2 III-IV,Transit,2014.0,88.58,MiniNeptune
HIP 65 A b,HIP 65 A,0.9809734,0.01782,0.0,3.213,2.03,0.48,1411.0,661.0,4590.0,0.781,0.7242,-0.67799,0.18,K4 V,Transit,2020.0,77.18,HotJupiter
TOI-157 b,TOI-157,2.0845435,0.03138,0.0,1.18,1.286,0.686,1588.0,1062.0,5404.0,0.948,1.167,0.01995,0.24,G9 IV,Transit,2020.0,82.01,HotJupiter
TOI-1266 b,TOI-1266,10.894841,0.0728,0.22,0.01330907,0.23374115,1.3,425.0,5.5,3618.0,0.431,0.436,-1.5376,-0.195,M3 V,Transit,2020.0,89.13,MiniNeptune
TOI-169 b,TOI-169,2.2554477,0.03524,0.0,0.791,1.086,0.76,1715.0,1443.0,5880.0,1.147,1.288,0.25261,0.24,G1 V,Transit,2020.0,80.98,HotJupiter
TOI-1470 b,TOI-1470,2.527093,0.0285,0.3,0.0230313,0.19448691,3.86,734.0,46.3,3709.0,0.471,0.469,-1.42481,0.0,M1.5 V,Transit,2023.0,87.42,SuperEarth
TOI-1470 c,TOI-1470,18.08816,0.106,0.5,0.02277959,0.22035902,2.66,373.0,3.35,3709.0,0.471,0.469,-1.42481,0.0,M1.5 V,Transit,2023.0,89.47,SuperEarth
TOI-1231 b,TOI-1231,24.245586,0.1288,0.087,0.04845382,0.32563175,1.74,329.6,1.93,3553.0,0.485,0.476,-1.48678,0.041,M3 V,Transit,2021.0,89.73,MiniNeptune
K2-3 c,K2-3,24.646729,0.1357,0.048,0.00843222,0.14113683,3.7,371.8,3.17,3844.0,0.549,0.546,-1.23136,-0.157,M V,Transit,2015.0,89.84,EarthLike
TOI-3261 b,TOI-3261,0.8831331,0.01714,0.0,0.09533446,0.34079816,3.0,1722.0,1466.0,5068.0,0.861,0.849,-0.36653,0.138,K1.5+/-1,Transit,2024.0,87.8,MiniNeptune
TOI-3288 b,TOI-3288,1.4338635,0.0215,0.0,2.11,1.0,2.6,1059.0,239.0,3933.0,0.64,0.67,-0.95861,0.27,K9 V,Transit,2025.0,89.1,HotJupiter
HD 5278 b,HD 5278,14.339156,0.1202,0.08,0.02454154,0.21857474,2.9,943.0,132.0,6203.0,1.126,1.194,0.28035,-0.12,F V,Transit,2021.0,89.27,DesertWorld
TOI-3884 b,TOI-3884,4.5445697,0.0354,0.32,0.05191481,0.53528507,0.424,463.0,7.42,3269.0,0.2813,0.3043,-2.03152,0.23,M4,Transit,2022.0,90.1,MiniNeptune
K2-24 c,K2-24,42.3633,0.247,0.0,0.08495107,0.69765367,0.31,606.0,24.0,5743.0,1.12,1.21,0.15836,0.42,G3,Transit,2016.0,89.76,GasGiant
TOI-132 b,TOI-132,2.1097019,0.026,0.059,0.07047793,0.30511196,3.08,1395.0,860.0,5397.0,0.97,0.9,-0.22185,0.16,G8 V,Transit,2020.0,85.03,MiniNeptune
K2-24 b,K2-24,20.8851,0.154,0.0,0.06607306,0.50673566,0.63,767.0,60.0,5743.0,1.12,1.21,0.15836,0.42,G3,Transit,2016.0,89.25,MiniNeptune
L 98-59 c,L 98-59,3.6906764,0.0309,0.002,0.0062927,0.11856564,4.7,526.0,12.7,3415.0,0.2923,0.3155,-1.91364,-0.46,M3 V,Transit,2019.0,88.88,EarthLike
HD 23472 c,HD 23472,29.79749,0.1646,0.063,0.01072906,0.16683051,3.1,467.0,7.96,4684.0,0.67,0.71,-0.62525,-0.2,K4 V,Transit,2019.0,89.095,SuperEarth
TOI-7149 b,TOI-7149,2.65206166,0.02603,0.078,0.705,1.18,0.53,593.0,20.6,3363.0,0.344,0.351,-1.91542,-0.08,M4 V,Transit,2025.0,89.25,GasGiant
TOI-2196 b,TOI-2196,1.1947268,0.02234,0.0,0.08180515,0.31314176,3.31,1860.0,2000.0,5634.0,1.032,1.043,-0.00436,0.14,G V,Transit,2022.0,81.11,MiniNeptune
TOI-2180 b,TOI-2180,260.79,0.828,0.3683,2.755,1.01,3.32,348.0,2.71,5695.0,1.111,1.636,0.40552,0.253,G5,Transit,2022.0,89.955,GasGiant
TOI-5542 b,TOI-5542,75.12375,0.332,0.018,1.32,1.009,1.6,441.0,9.6,5700.0,0.89,1.058,1.057,-0.21,G3 V,Transit,2022.0,89.643,GasGiant
L 98-59 b,L 98-59,2.253114,0.0223,0.031,0.00144732,0.07467227,4.3,620.0,24.5,3415.0,0.2923,0.3155,-1.91364,-0.46,M3 V,Transit,2019.0,88.08,EarthLike
L 98-59 d,L 98-59,7.4507245,0.0486,0.074,0.00610392,0.13569476,2.95,416.0,5.01,3415.0,0.273,0.303,-1.94769,-0.46,M3 V,Transit,2019.0,88.449,EarthLike
HD 23472 d,HD 23472,3.97664,0.04298,0.07,0.00173049,0.06691063,7.5,909.0,117.0,4684.0,0.67,0.71,-0.62525,-0.2,K4 V,Transit,2022.0,87.95,DesertWorld
Kepler-1654 b,Kepler-1654,1047.8356,2.026,0.26,0.5,0.819,1.2,206.0,0.3,5597.0,1.011,1.179,0.08991,-0.088,G5 V,Transit,2018.0,89.982,GasGiant
TIC 139270665 b,TIC 139270665,23.624,0.163,0.105,0.463,0.645,2.13,703.0,40.3,5844.0,1.035,1.016,0.03222,0.156,G2,Transit,2024.0,89.76,GasGiant
KELT-4 A b,KELT-4 A,2.9895932,0.04317,0.0,0.902,1.699,0.228,1823.0,1840.0,6206.0,1.201,1.603,0.53529,-0.116,F,Transit,2016.0,83.16,HotJupiter
TOI-912 b,TOI-912,4.6780691,0.041,0.58,0.01604639,0.17218336,4.0,551.0,15.0,3572.0,0.418,0.419,-1.59007,-0.19,M3,Transit,2025.0,88.7,SuperEarth
KELT-23 A b,KELT-23 A,2.255251,0.03302,0.0,0.938,1.323,0.503,1561.0,991.183,5899.0,0.944,0.996,0.03383,-0.105,G2 V,Transit,2019.0,85.37,HotJupiter
KELT-21 b,KELT-21,3.6127647,0.05224,0.0,3.91,1.586,1.24,2051.0,2950.0,7598.0,1.458,1.638,0.90472,-0.405,A8 V,Transit,2018.0,86.46,HotJupiter
GJ 367 b,GJ 367,0.3219225,0.00709,0.06,0.00199164,0.06236071,10.2,1365.0,579.0,3522.0,0.455,0.458,-1.5391,-0.01,M1.0 V,Transit,2021.0,79.89,DesertWorld
HD 23472 b,HD 23472,17.667087,0.1162,0.072,0.02617765,0.17842836,6.15,543.0,16.0,4684.0,0.67,0.71,-0.62525,-0.2,K4 V,Transit,2019.0,88.93,SuperEarth
TOI-858 B b,TOI-858 B,3.2797178,0.04435,0.15,1.1,1.255,0.69,1529.0,908.9,5842.0,1.081,1.308,0.25285,0.153,G0,Transit,2023.0,86.8,HotJupiter
TOI-2134 b,TOI-2134,9.2292005,0.078,0.06,0.02872619,0.23998614,2.607,666.0,32.0,4580.0,0.744,0.709,-0.7167,0.12,K5 V,Transit,2023.0,89.49,MiniNeptune
TOI-1759 b,TOI-1759,18.85019,0.1177,0.0,0.0339806,0.28013252,1.91,443.0,6.39,4065.0,0.606,0.597,-1.05715,0.05,M0.0 V,Transit,2022.0,89.72,MiniNeptune
TOI-771 b,TOI-771,2.3260155,0.0208,0.055,0.00777149,0.12133128,5.4,543.0,14.0,3370.0,0.22,0.232,-2.20343,-0.13,M3,Transit,2024.0,89.3,EarthLike
pi Men c,HD 39091,6.2679,0.06839,0.0,0.01516534,0.18217504,2.97,1169.8,309.0,6037.0,1.094,1.1,0.15957,0.08,G0 V,Transit,2018.0,87.456,DesertWorld
TOI-756 b,TOI-756,1.2392495,0.018,0.0,0.03092864,0.25069184,2.42,934.0,127.0,3657.0,0.505,0.505,-1.38722,0.196,M1 V,Transit,2025.0,85.53,MiniNeptune
TOI-5300 b,TOI-5300,2.262196,0.0295,0.0,0.6,0.88,1.1,1043.0,198.0,4610.0,0.67,0.65,-0.76195,-0.17,K4 V,Transit,2025.0,89.2,HotJupiter
TOI-733 b,TOI-733,4.884765,0.0618,0.046,0.01799713,0.17771464,3.98,1055.8,207.1,5585.0,0.956,0.949,-0.08619,-0.04,G,Transit,2023.0,88.85,DesertWorld
TOI-1107 b,TOI-1107,4.0782387,0.0561,0.025,3.35,1.3,1.89,1728.0,532.0,6311.0,1.35,1.81,0.67117,-0.1,F6 V,Transit,2022.0,88.63,HotJupiter
WASP-132 c,WASP-132,1.01153624,0.01833,0.0,0.01969616,0.1642433,5.47,1329.0,791.0,4686.0,0.789,0.758,-0.57512,0.15,K4 V,Transit,2022.0,88.82,DesertWorld
TOI-5349 b,TOI-5349,3.317921,0.0369,0.03,0.4,0.91,0.66,719.0,44.5,3751.0,0.61,0.58,-1.20066,0.5,M1+/-0.5,Transit,2026.0,87.9,GasGiant
WASP-173 A b,WASP-173 A,1.3866529,0.02508,0.0,3.47,1.285,2.02,1842.0,1920.0,5767.0,1.092,1.099,0.08279,0.259,G2,Transit,2018.0,86.5,HotJupiter
LHS 1140 c,LHS 1140,3.77794,0.027,0.05,0.00600953,0.11348043,5.1,422.0,5.3,3096.0,0.1844,0.2159,-2.42022,-0.15,M4.5 V,Transit,2018.0,89.8,EarthLike
TOI-2136 b,TOI-2136,7.851928,0.057,0.0,0.02004226,0.19537905,3.34,395.0,4.0,3342.0,0.34,0.34,-1.88606,0.03,M4.5 V,Transit,2022.0,89.4,SuperEarth
TOI-2010 b,TOI-2010,141.834025,0.5516,0.212,1.286,1.054,1.36,400.2,4.09,5929.0,1.112,1.079,0.11361,0.168,F0,Transit,2023.0,89.903,GasGiant
TOI-2015 b,TOI-2015,3.348968,0.0301,0.0,0.05160017,0.302,2.32,512.0,11.47,3194.0,0.342,0.333,-1.97881,0.05,M4,Transit,2023.0,87.95,MiniNeptune
HD 73583 c,HD 73583,18.8805,0.1233,0.093,0.07079292,0.2433,6.1,517.8,11.76,4582.0,0.702,0.677,-0.74425,-0.055,K4,Transit,2022.0,89.61,MiniNeptune
HD 73583 b,HD 73583,6.3980661,0.05995,0.294,0.05002699,0.253,3.8,742.7,46.2,4582.0,0.702,0.677,-0.74425,-0.055,K4,Transit,2022.0,89.45,MiniNeptune
TOI-5205 b,TOI-5205,1.630757,0.0199,0.02,1.08,1.03,1.21,737.0,49.0,3430.0,0.392,0.394,-1.7122,0.0,M4.0,Transit,2023.0,88.21,GasGiant
HD 23472 f,HD 23472,12.1621839,0.0906,0.07,0.00242269,0.10143652,3.0,630.0,26.3,4684.0,0.67,0.71,-0.62525,-0.2,K4 V,Transit,2022.0,88.81,EarthLike
K2-216 b,K2-216,2.1748,0.028,0.0,0.02517069,0.15612454,8.2,1103.0,248.0,4503.0,0.7,0.72,-0.72125,0.0,K5 V,Transit,2018.0,86.9,DesertWorld
TOI-1695 b,TOI-1695,3.1342791,0.033548,0.097,0.0200108,0.16950694,5.0,698.0,39.0,3690.0,0.513,0.515,-1.3536,0.0,M1 V,Transit,2022.0,87.2,SuperEarth
TOI-2322 b,TOI-2322,11.30717,0.0924,0.0,0.00726807,0.08867889,12.75,603.1,22.04,4664.0,0.703,0.662,-0.74232,-0.12,K4,Transit,2025.0,89.57,EarthLike
