,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,pl_dens,pl_eqt,pl_insol,st_teff,st_mass,st_rad,st_lum,st_met,pl_orbincl
pl_orbper,1.0,0.9947998913369068,0.4554175238482873,0.45428806129512217,0.03295759103364178,0.07744244837055267,-0.7116877369224114,-0.7638462809467979,0.04638992688270523,0.135288712189395,0.3304681896282903,0.31823878424620944,-0.009519466253550435,-0.22595061801530936
pl_orbsmax,0.9947998913369068,1.0,0.45795976604723654,0.4945598540538043,0.11244934503075067,0.051171471621543015,-0.4084074679743623,-0.6665914987506374,0.08767654319471198,0.021668359176716053,0.3952875438960369,0.3589763207996133,-0.0003874674034036428,-0.24890313119384344
pl_orbeccen,0.4554175238482873,0.45795976604723654,1.0,0.2835474188828507,0.27444696338887703,0.11424672112188047,-0.06668911454452534,-0.19192548690298264,-0.041983883317943935,0.0712402508341427,0.17624150969828908,0.13714317703977658,0.16568314336461504,-0.22062751957262994
pl_bmassj,0.45428806129512217,0.4945598540538043,0.2835474188828507,1.0,0.8725001279518795,-0.30892650488802514,0.37747175780521725,0.29218297559891576,0.30276471079047423,0.32770930381636604,0.5197658071709335,0.6097286898017509,0.20975084960639176,-0.1787137512782593
pl_radj,0.03295759103364178,0.11244934503075067,0.27444696338887703,0.8725001279518795,1.0,-0.69138559581892,0.2533840835640113,0.037560849942213696,0.21246530024002083,0.3245307344395967,0.3611021541500199,0.6261989688281936,0.32155643954171176,-0.20217888502323872
pl_dens,0.07744244837055267,0.051171471621543015,0.11424672112188047,-0.30892650488802514,-0.69138559581892,1.0,-0.3300594397721584,-0.2835336966365404,-0.28881129464818617,-0.3052018438020033,-0.32671686863036603,-0.35201242467775706,-0.15223639542235917,0.14282261728478632
pl_eqt,-0.7116877369224114,-0.4084074679743623,-0.06668911454452534,0.37747175780521725,0.2533840835640113,-0.3300594397721584,1.0,0.9958923248499156,0.4225475465661854,0.4518388755401415,0.5118364681519819,0.6393594535026218,0.21435534264848388,-0.2588488708501972
pl_insol,-0.7638462809467979,-0.6665914987506374,-0.19192548690298264,0.29218297559891576,0.037560849942213696,-0.2835336966365404,0.9958923248499156,1.0,0.4750022326782358,0.5006050479875167,0.5183236949198268,0.6730841441162349,0.16287835680249255,-0.2758093769862274
st_teff,0.04638992688270523,0.08767654319471198,-0.041983883317943935,0.30276471079047423,0.21246530024002083,-0.28881129464818617,0.4225475465661854,0.4750022326782358,1.0,0.730629893053279,0.3744533091357774,0.6988822245312233,0.055149562703507835,-0.01394688703475252
st_mass,0.135288712189395,0.021668359176716053,0.0712402508341427,0.32770930381636604,0.3245307344395967,-0.3052018438020033,0.4518388755401415,0.5006050479875167,0.730629893053279,1.0,0.784018171400774,0.8996027790521499,0.23001112680947905,-0.022713510455940538
st_rad,0.3304681896282903,0.3952875438960369,0.17624150969828908,0.5197658071709335,0.3611021541500199,-0.32671686863036603,0.5118364681519819,0.5183236949198268,0.3744533091357774,0.784018171400774,1.0,0.930865351325871,0.11236162802921891,-0.06934742950213978
st_lum,0.31823878424620944,0.3589763207996133,0.13714317703977658,0.6097286898017509,0.6261989688281936,-0.35201242467775706,0.6393594535026218,0.6730841441162349,0.6988822245312233,0.8996027790521499,0.930865351325871,1.0,0.07464217519048784,-0.07914884290664603
st_met,-0.009519466253550435,-0.0003874674034036428,0.16568314336461504,0.20975084960639176,0.32155643954171176,-0.15223639542235917,0.21435534264848388,0.16287835680249255,0.055149562703507835,0.23001112680947905,0.11236162802921891,0.07464217519048784,1.0,-0.04940834610593386
pl_orbincl,-0.22595061801530936,-0.24890313119384344,-0.22062751957262994,-0.1787137512782593,-0.20217888502323872,0.14282261728478632,-0.2588488708501972,-0.2758093769862274,-0.01394688703475252,-0.022713510455940538,-0.06934742950213978,-0.07914884290664603,-0.04940834610593386,1.0
